Faixa,Dias,Percentual,XGBoost,Bi-LSTM,Bi-GRU
Normal (<200),73,20.0,44.0667404109589,41.715046171966506,36.495936545096875
Moderada (200-400),242,66.3013698630137,53.411734338842976,47.3007499918588,48.18758468764011
Severa (>400),50,13.698630136986301,142.9593582,159.5067406751215,154.0947040066123
