Modelo,n,Vies_medio,Vies_mediano,Desvio_padrao_residuo,ACF_lag_1,ACF_lag_7,ACF_lag_14,Ljung_Box_p_7,Ljung_Box_p_14
XGBoost,365,0.26472736986301343,-4.9190699999999765,99.86165697229825,0.23830586461393272,0.139800892121939,0.039382420066634186,2.0729047518472813e-09,9.04087143372325e-09
Bi-LSTM,365,5.356476079601089,-3.6237749159336374,99.8220042836657,0.30369033560060543,0.11031389563896658,0.06889481109903599,1.0315026619489462e-09,3.958431240852415e-09
Bi-GRU,365,-7.936289667511682,-19.32038127630952,96.702536072041,0.36226685405044884,0.022076583864404704,0.0443996597998144,1.4680186324937963e-11,2.1744694922647157e-09
Persistência,365,-0.03287671232876712,-1.0,105.75484304862947,-0.22256171218623375,0.13891204989417674,0.0824063420294612,5.783348641917688e-08,1.3522780490585608e-07
