Variante,n_atributos,MAE,RMSE,R2,MAPE,MAE_IC95_inf,MAE_IC95_sup
Completo,41,61.47482262180276,99.72511748388402,0.40902759230920815,20.378315979878273,49.97205046144251,74.64440393317236
Histórico + calendário,10,54.262087218402186,97.17830070534139,0.4388270972256495,16.686092294039902,43.62106867437493,67.5223212704593
Clima + calendário,36,79.21729920269692,124.69511700086944,0.07603188360774549,24.894360393450235,64.00543409478173,96.87278137311543
Somente histórico,5,61.17022052921661,100.44277108771284,0.40049133752214916,19.649452865980816,50.064860073768926,74.9817704804303
Somente calendário,5,75.31637046500428,126.37680351538616,0.05094184802333168,21.107954820743757,59.348137569688774,95.07745918587463
Persistência,1,68.58630136986301,105.60987915598837,0.3372233761788743,22.372761812257078,56.79719178082192,82.47691780821917
