Modelo_A,Modelo_B,Delta_MAE_A_menos_B,IC95_inf,IC95_sup,IC_exclui_zero
XGBoost,Bi-LSTM,-0.2620991559374345,-8.112696040165556,7.819577349804845,False
XGBoost,Bi-GRU,-0.6298662968599225,-8.750183459187244,7.809979448730931,False
Bi-LSTM,Bi-GRU,-0.3677671409224892,-4.958589568826545,4.141665425257728,False
XGBoost,Persistência,-7.1114787123287675,-15.034643331506848,1.373833747260271,False
Bi-LSTM,Persistência,-6.849379556391334,-14.534962212053978,0.6696991817913444,False
Bi-GRU,Persistência,-6.4816124154688435,-14.015954870606617,1.195537678690208,False
