Escopo,Modelo,Horizonte,n,MAE,RMSE,R2,MAPE
principal_365,Persistencia,1,365,68.58630136986301,105.60987915598837,0.3372233761788743,22.372761812257078
multihorizonte_352,Persistencia,1,352,69.82670454545455,107.21562545127968,0.32379343290952767,22.46049283676202
multihorizonte_352,Persistencia,3,352,86.2215909090909,139.7009793679473,-0.14805347847690342,28.004587722638487
multihorizonte_352,Persistencia,7,352,84.5596590909091,143.64922356844878,-0.21386330582994217,26.01152964783632
multihorizonte_352,Persistencia,14,352,88.0028409090909,153.87388763352456,-0.39281382888865934,27.371456511191194
