Variante_A,Variante_B,Delta_MAE_A_menos_B,IC95_inf,IC95_sup,IC_exclui_zero
Histórico + calendário,Completo,-7.212735403400578,-14.817124700676905,-0.8339520483147611,True
Clima + calendário,Completo,17.742476580894156,10.75177780464904,25.335583280798506,True
Somente histórico,Completo,-0.30460209258615156,-8.387531970298452,6.695994381839282,False
Histórico + calendário,Persistência,-14.324214151460831,-19.967298459614796,-8.875425979405234,True
Clima + calendário,Somente calendário,3.900928737692637,-8.011070025718375,17.557963192038336,False
Histórico + calendário,Somente histórico,-6.908133310814426,-9.719162177516989,-4.226929642141682,True
