Analise,Bloco_dias,Alternativa_A,Alternativa_B,Delta_MAE_A_menos_B,IC95_inf,IC95_sup,IC_exclui_zero
modelos_oficiais,7,XGBoost,Bi-LSTM,-0.2620991559374345,-8.112696040165556,7.819577349804845,False
modelos_oficiais,7,XGBoost,Bi-GRU,-0.6298662968599225,-8.750183459187244,7.809979448730931,False
modelos_oficiais,7,Bi-LSTM,Bi-GRU,-0.3677671409224892,-4.958589568826545,4.141665425257728,False
modelos_oficiais,7,XGBoost,Persistência,-7.1114787123287675,-15.034643331506848,1.373833747260271,False
modelos_oficiais,7,Bi-LSTM,Persistência,-6.849379556391334,-14.534962212053978,0.6696991817913444,False
modelos_oficiais,7,Bi-GRU,Persistência,-6.4816124154688435,-14.015954870606617,1.195537678690208,False
ablacao_xgboost,7,Histórico + calendário,Completo,-7.212735403400578,-14.817124700676905,-0.8339520483147611,True
ablacao_xgboost,7,Clima + calendário,Completo,17.742476580894156,10.75177780464904,25.335583280798506,True
ablacao_xgboost,7,Somente histórico,Completo,-0.30460209258615156,-8.387531970298452,6.695994381839282,False
ablacao_xgboost,7,Histórico + calendário,Persistência,-14.324214151460831,-19.967298459614796,-8.875425979405234,True
ablacao_xgboost,7,Clima + calendário,Somente calendário,3.900928737692637,-8.011070025718375,17.557963192038336,False
ablacao_xgboost,7,Histórico + calendário,Somente histórico,-6.908133310814426,-9.719162177516989,-4.226929642141682,True
modelos_oficiais,14,XGBoost,Bi-LSTM,-0.2620991559374345,-8.906413997384274,9.661433271141368,False
modelos_oficiais,14,XGBoost,Bi-GRU,-0.6298662968599225,-9.261881831982931,9.688290885842148,False
modelos_oficiais,14,Bi-LSTM,Bi-GRU,-0.3677671409224892,-4.704669131867285,4.234275982569747,False
modelos_oficiais,14,XGBoost,Persistência,-7.1114787123287675,-16.125746693835616,3.9313352705479416,False
modelos_oficiais,14,Bi-LSTM,Persistência,-6.849379556391334,-14.240706109873024,0.21786914134985202,False
modelos_oficiais,14,Bi-GRU,Persistência,-6.4816124154688435,-13.072667378542858,-0.10324879456259044,True
ablacao_xgboost,14,Histórico + calendário,Completo,-7.212735403400578,-16.896740161425445,-0.3296176941754074,True
ablacao_xgboost,14,Clima + calendário,Completo,17.742476580894156,10.015888678145737,26.45613437286795,True
ablacao_xgboost,14,Somente histórico,Completo,-0.30460209258615156,-10.90886009007284,7.641267233025537,False
ablacao_xgboost,14,Histórico + calendário,Persistência,-14.324214151460831,-19.635916823295698,-9.405782638967855,True
ablacao_xgboost,14,Clima + calendário,Somente calendário,3.900928737692637,-9.426337976325048,21.238422735553897,False
ablacao_xgboost,14,Histórico + calendário,Somente histórico,-6.908133310814426,-9.33229322250575,-4.419441379912913,True
modelos_oficiais,30,XGBoost,Bi-LSTM,-0.2620991559374345,-9.705332845414139,12.103309092690514,False
modelos_oficiais,30,XGBoost,Bi-GRU,-0.6298662968599225,-10.66973361700225,12.812957913998833,False
modelos_oficiais,30,Bi-LSTM,Bi-GRU,-0.3677671409224892,-4.74252067074691,4.060873993417777,False
modelos_oficiais,30,XGBoost,Persistência,-7.1114787123287675,-17.529025999315067,6.780660328767121,False
modelos_oficiais,30,Bi-LSTM,Persistência,-6.849379556391334,-13.797270664306845,-0.40391872944997836,True
modelos_oficiais,30,Bi-GRU,Persistência,-6.4816124154688435,-12.692730766245447,-0.021578668206404902,True
ablacao_xgboost,30,Histórico + calendário,Completo,-7.212735403400578,-18.463860738048815,0.10785741309597066,False
ablacao_xgboost,30,Clima + calendário,Completo,17.742476580894156,8.612228505382799,27.75187086026962,True
ablacao_xgboost,30,Somente histórico,Completo,-0.30460209258615156,-12.986545820889408,8.2257712387712,False
ablacao_xgboost,30,Histórico + calendário,Persistência,-14.324214151460831,-19.5755130987298,-9.256889280554368,True
ablacao_xgboost,30,Clima + calendário,Somente calendário,3.900928737692637,-9.549470607809825,22.837142405052695,False
ablacao_xgboost,30,Histórico + calendário,Somente histórico,-6.908133310814426,-9.383691902683205,-4.4024521083047965,True
