Modelo,n,MAE,MAE_IC95_inf,MAE_IC95_sup,RMSE,RMSE_IC95_inf,RMSE_IC95_sup,Vies,Vies_IC95_inf,Vies_IC95_sup
XGBoost,365,61.474822657534254,49.972050866438366,74.64440334246575,99.72511772629318,74.89435434915794,124.67592284787833,0.26472736986301343,-13.831992917123285,14.500888321917802
Bi-LSTM,365,61.736921813471675,51.68935130976141,73.42020975322552,99.82897655502433,75.87530618339805,124.58050027842133,5.356476079601089,-7.862415808088715,20.542872170522667
Bi-GRU,365,62.10468895439417,52.09582472791718,73.6625615282612,96.89553630560242,75.04951067695768,119.59571911763977,-7.936289667511682,-20.96732455765502,7.0428354956377435
Persistência,365,68.58630136986301,56.79719178082192,82.47691780821917,105.60987915598837,80.41067577511798,131.5394351048643,-0.03287671232876712,-5.3289041095890415,5.624657534246575
