mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5532980918884277,0.04353799961165723,0.0029007911682128905,0.0004901168219639048,0.7,0.0,0.03,4,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-36.81970460679796,-40.20511188083225,-66.25261959499782,-64.79000183105468,-58.15372548421224,-53.244232679578985,12.380709419552947,5
0.4105396747589111,0.13321597836720747,0.003301382064819336,0.00039965460049589183,0.7,0.0,0.03,4,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-37.13119327121311,-40.2361355082194,-65.71326436360677,-65.2123907131619,-59.367070821126305,-53.53201093546549,12.366319210937183,23
0.3427268505096436,0.04597516439633931,0.003402042388916016,0.0003750148394390971,0.7,0.0,0.03,4,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-37.35249947441949,-40.0830251566569,-66.52646440294053,-64.92333055284288,-58.4216950141059,-53.461402920193144,12.370560828597398,17
0.3436715126037598,0.040816776710998225,0.00340418815612793,0.0006655656329642743,0.7,0.0,0.03,4,1,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",-37.53247387356228,-40.31341818915473,-66.11337480333117,-65.08200802273221,-60.2366988796658,-53.85559475368924,12.384174077196779,45
0.2024010181427002,0.019752648133591125,0.0027017593383789062,0.0006012136974513158,0.7,0.0,0.03,4,3,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",-37.61470211452908,-40.23770433213976,-65.53792475382487,-65.43458699544271,-58.573094278971354,-53.479602494981556,12.176299763842119,19
0.19730710983276367,0.021952943647578594,0.003302145004272461,0.0006025798997891298,0.7,0.0,0.03,4,3,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-37.24153532240126,-40.45285685221354,-65.1424410671658,-65.49121470133464,-59.38454111735026,-53.542517812093095,12.235359147548957,25
0.30643701553344727,0.043916125671969175,0.003602123260498047,0.0007390767617519597,0.7,0.0,0.03,4,3,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-38.07933866712782,-40.242308858235674,-65.4448839823405,-65.82260508219402,-58.65138685438368,-53.648104688856336,12.120372364296855,31
0.31323833465576173,0.046148524635951135,0.003503894805908203,0.0008386320782965343,0.7,0.0,0.03,4,3,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.8}",-37.68095738728841,-40.75648410373264,-65.27680823432074,-65.43350650363499,-60.31302907307943,-53.892157060411236,12.160505956513003,51
0.5124848842620849,0.09493013342298039,0.0032015323638916017,0.0004010011802343319,0.7,0.0,0.03,6,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-36.92019256591797,-40.835487840440535,-67.48115331013997,-65.89546847873264,-58.68712561713325,-53.963885562472875,12.72973285322461,57
0.5362464904785156,0.07584407975539491,0.0035013675689697264,0.0006349393645235391,0.7,0.0,0.03,6,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-37.23090306599935,-40.808015492757164,-66.13539664374457,-65.27365041097005,-59.46198510064019,-53.781990142822266,12.322254276401695,38
0.8575786113739013,0.1317824783459597,0.004303693771362305,0.0005090615774326453,0.7,0.0,0.03,6,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-37.15686799791124,-40.7924058871799,-67.6774825032552,-66.04564626057943,-58.93843360053168,-54.12216724989148,12.764139309744158,69
0.8810251712799072,0.1318541567480882,0.0045016765594482425,0.000447140899791433,0.7,0.0,0.03,6,1,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",-37.351070641411674,-41.034405127631295,-66.44683405558268,-65.45680508083767,-60.124424845377604,-54.0827079501682,12.401209106460161,67
0.4013828754425049,0.09222433899417862,0.00320582389831543,0.00040017290822536456,0.7,0.0,0.03,6,3,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",-37.49444627549913,-41.48757051255968,-66.34591740926106,-65.81301140679254,-59.79095557318794,-54.18638023546007,12.282708081637717,74
0.41649494171142576,0.08325775212157761,0.003202390670776367,0.0008145772537736796,0.7,0.0,0.03,6,3,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-37.612641160753036,-40.97379776000977,-66.6398828125,-66.33584096272786,-59.16234059651693,-54.14490065850151,12.463642033732322,70
0.6607844829559326,0.15433298073999238,0.004202556610107422,0.00024649416033869056,0.7,0.0,0.03,6,3,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-37.79542527940538,-41.61312286376953,-66.35651858859592,-66.17014255099826,-60.434614698621964,-54.47396479627821,12.305282943390655,103
0.7114353656768799,0.15475728616282486,0.004602956771850586,0.0003735886122886416,0.7,0.0,0.03,6,3,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.8}",-37.86985307481554,-41.13907947116428,-66.78685028076171,-66.41296834309895,-59.65504689534505,-54.372759613037104,12.44552165728261,88
1.192892026901245,0.3137949550181896,0.0048024654388427734,0.0007496678149717555,0.7,0.0,0.03,8,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-36.71277526855469,-40.91302266438802,-67.68892054239909,-65.90537065294053,-60.11496663411458,-54.267011152479384,12.9327325253167,79
1.3281769752502441,0.30417888634169854,0.004601287841796875,0.000490800067051477,0.7,0.0,0.03,8,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-37.340682881673175,-40.99822480943468,-67.46180469089084,-66.92539659288194,-60.717005310058596,-54.688622856987855,12.94304616937973,127
2.3237213134765624,0.6029295122813617,0.007609081268310547,0.0013580338707120992,0.7,0.0,0.03,8,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-36.77713148328993,-40.94420942518446,-67.82600706312391,-66.03433861626519,-60.26984934488932,-54.37030718655056,12.974513620659259,87
2.457523155212402,0.612239291816013,0.007305526733398437,0.001503302651013907,0.7,0.0,0.03,8,1,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",-37.39373694525825,-40.98952394273546,-67.66952068752713,-66.92014709472656,-60.92231502956814,-54.7790487399631,12.99007557582659,142
0.9353353977203369,0.2614405593319507,0.004603004455566407,0.0005862586057671582,0.7,0.0,0.03,8,3,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",-37.84860897488064,-41.35975763956706,-66.82170513576932,-67.09905422634549,-60.57855010986328,-54.74153521728516,12.626578731752748,136
