modelo,conjunto,MAE,RMSE,R2
LSTM,treino,47.93525314331055,78.65962982177734,0.47710293531417847
LSTM,teste,61.835594177246094,100.66279602050781,0.3764829635620117
GRU,treino,48.2667236328125,78.09215545654297,0.4846203923225403
GRU,teste,61.790191650390625,98.06398010253906,0.40826213359832764
