data,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos,n_registros
2017-01-01,1.2791666666666666,2.8,8.1,0.9292355521379776,-0.3694878734719551,24
2017-01-02,1.1833333333333331,2.2,5.1,0.1008974045978482,0.9948968357299254,24
2017-01-03,1.7041666666666666,7.3,17.8,0.847229473953282,0.5312270874728104,24
2017-01-04,2.0416666666666665,5.6,11.5,-0.9814392449530738,0.1917733257414613,24
2017-01-05,2.095833333333333,3.7,7.8,0.9359047375523916,-0.3522532075467721,24
2017-01-06,2.3875,4.5,11.8,0.7952587875438349,-0.6062701220036409,24
2017-01-07,2.3666666666666667,4.1,8.3,0.9606827484900502,-0.2776484409349404,24
2017-01-08,2.7375000000000003,4.1,8.3,0.979847036709224,0.1997493045098091,24
2017-01-09,1.4125,2.7,6.0,0.6805764169481943,0.7326771053431094,24
2017-01-10,1.9708333333333328,3.9,8.5,0.0591582906155532,-0.9982486146504016,24
2017-01-11,2.4625,3.8,8.7,-0.1596857548677607,-0.9871678984308158,24
2017-01-12,1.6333333333333335,2.5,13.2,-0.5468129999732322,0.8372547659226993,24
2017-01-13,1.4208333333333334,3.2,9.5,-0.3634804997694455,0.9316018067218172,24
2017-01-14,2.275,4.6,13.6,-0.7830647434719,0.6219401961051301,24
2017-01-15,2.3416666666666663,4.0,10.1,-0.5295190883911086,0.8482980225306724,24
2017-01-16,1.8416666666666668,4.3,11.5,0.9987152368026516,0.0506742121618457,24
2017-01-17,1.825,3.4,11.5,0.7563168406677192,0.654205500223286,24
2017-01-18,1.825,4.7,10.5,0.2783697090082843,0.9604740002241828,24
2017-01-19,0.8250000000000001,2.0,6.5,0.8388312565249845,-0.5443915163526301,24
2017-01-20,1.8958333333333333,4.0,9.2,0.9732328811694996,-0.2298211456992474,24
2017-01-21,2.5625,3.6,7.5,0.7216983740098784,-0.6922076689487756,24
2017-01-22,2.0,3.4,8.6,0.6571711891230603,-0.7537413536396839,24
2017-01-23,1.875,4.1,8.1,0.9696074405479004,-0.2446659175981604,24
2017-01-24,1.3708333333333331,3.3,7.1,0.5594080261985879,0.8288924298270556,24
2017-01-25,1.6166666666666665,4.1,7.5,0.223996058348682,0.9745900501463444,24
2017-01-26,1.3333333333333333,2.6,8.8,-0.3792335164805871,-0.9253009996632277,24
2017-01-27,1.2958333333333334,2.6,6.5,-0.8578496179420739,-0.5139008007355483,24
2017-01-28,2.8041666666666667,6.2,10.2,0.9011750295170964,-0.4334553796815314,24
2017-01-29,2.770833333333333,4.1,10.0,0.9756732547444804,-0.2192297880679367,24
2017-01-30,2.7291666666666665,4.6,9.0,0.9528550762300756,-0.3034257795616201,24
2017-01-31,2.2041666666666666,3.8,7.7,0.9721551127765434,0.2343382954244268,24
2017-02-01,2.316666666666667,4.1,8.3,0.6814478284794129,-0.7318666935041468,24
2017-02-02,1.9375,3.7,7.6,0.6472613045710142,0.7622681966375279,24
2017-02-03,2.033333333333333,3.8,7.9,-0.5834516810660543,0.8121478534486165,24
2017-02-04,1.225,2.9,7.1,0.6951108416111008,0.7189025788482798,24
2017-02-05,1.6708333333333334,3.8,8.4,-0.2740596917753412,0.961712683364426,24
2017-02-06,1.85,4.3,13.2,-0.3653113199702031,0.9308854062136908,24
2017-02-07,1.8875,3.8,7.9,-0.8132655276243779,0.5818927577980689,24
2017-02-08,2.091666666666667,3.6,7.4,-0.7187993098973132,0.6952176293011753,24
2017-02-09,1.7583333333333335,3.9,9.0,0.9984197455453212,0.0561961894189974,24
2017-02-10,2.025,5.0,10.7,-0.0641231969376231,0.9979419901048852,24
2017-02-11,2.333333333333333,4.0,7.8,0.1619436311339012,0.9868000103035908,24
2017-02-12,2.8875,5.2,10.1,0.7709566608023561,0.6368876095234391,24
2017-02-13,3.095833333333333,5.0,10.0,0.7132295623732987,0.7009305182090395,24
2017-02-14,3.016666666666666,6.3,12.2,0.8497226723200193,0.5272299120358451,24
2017-02-15,3.3833333333333333,4.8,9.8,0.9890516024870114,-0.1475700769731955,24
2017-02-16,2.8083333333333336,4.2,8.5,0.9978733881466916,-0.0651820621692986,24
2017-02-17,1.7208333333333332,3.8,6.8,0.9992717238120988,-0.0381578561975968,24
2017-02-18,1.7666666666666666,3.5,7.0,0.978368593681249,-0.2068692700672944,24
2017-02-19,2.2791666666666663,4.1,8.3,0.9892263185954926,-0.1463942983794419,24
2017-02-20,2.829166666666667,4.7,11.4,0.979902796940966,-0.1994755838374007,24
2017-02-21,3.370833333333333,4.5,8.1,0.984369899408952,-0.176113319023887,24
2017-02-22,3.083333333333333,4.3,8.6,0.9950088321256276,0.0997868928867629,24
2017-02-23,2.716666666666667,5.0,10.3,0.9903297689839792,0.1387333725681701,24
2017-02-24,1.4041666666666668,2.9,6.6,0.3951019673201324,0.9186372708636206,24
2017-02-25,1.7125,3.6,14.8,0.9092731755383268,0.4161998224968954,24
2017-02-26,1.3,2.0,5.2,0.9971709161544255,-0.0751675726343731,24
2017-02-27,1.4083333333333332,3.5,7.3,0.83737332483669,-0.5466314250497744,24
2017-02-28,2.154166666666667,4.2,9.3,0.8902296504027739,0.4555119861691402,24
2017-03-01,2.1875,4.0,8.4,-0.6354172769638967,0.7721689479225299,24
2017-03-02,1.9125,4.4,8.8,0.1555475795311861,0.987828401344074,24
2017-03-03,1.9291666666666665,7.3,14.0,0.997585724693248,-0.0694458198039818,24
2017-03-04,1.5458333333333334,3.2,5.9,0.9590010262587276,-0.2834025963796154,24
2017-03-05,1.3458333333333332,2.4,6.9,-0.0323037566807264,-0.999478097461026,24
2017-03-06,1.5541666666666665,2.8,5.7,0.6098142481665008,-0.7925443727218845,24
2017-03-07,1.8375,3.8,7.7,0.7232087929930724,-0.6906294532797622,24
2017-03-08,1.9625,3.8,7.5,0.975835851687152,-0.2185048982563328,24
2017-03-09,2.775,4.6,8.7,0.9520409247809544,0.3059707135368114,24
2017-03-10,2.245833333333333,4.0,8.8,0.9576302874868536,-0.2880004036244499,24
2017-03-11,2.4916666666666667,4.2,9.2,0.99526465896061,0.0972021533918906,24
2017-03-12,2.6,4.4,8.5,0.9999957036608712,-0.0029313238986783,24
2017-03-13,2.083333333333333,3.6,7.9,0.5692385224847488,0.8221724299192841,24
2017-03-14,1.9583333333333333,4.4,12.7,0.6215375264003095,-0.7833843904981671,24
2017-03-15,2.15,4.9,9.2,0.8076847764846651,0.5896145366550223,24
2017-03-16,1.7375,3.9,10.7,0.9997267839594888,-0.0233742900216831,24
2017-03-17,1.75,3.5,8.0,0.915119732342428,0.4031821864585824,24
2017-03-18,1.9375,3.2,8.4,-0.8454075288522003,0.5341218120990906,24
2017-03-19,1.5666666666666669,2.7,6.5,0.788676399800916,-0.6148085363729636,24
2017-03-20,1.1166666666666667,2.5,7.9,0.3371163953696351,-0.9414629764217942,24
2017-03-21,1.4958333333333331,4.1,9.1,0.5689530153177538,-0.8223700300721299,24
2017-03-22,2.091666666666667,4.9,12.0,0.9761637915710706,-0.2170351400708913,24
2017-03-23,2.504166666666667,5.3,9.1,0.9979925792168124,0.0633309705292325,24
2017-03-24,1.9666666666666668,3.7,7.6,0.9811383174969772,-0.1933070147180408,24
2017-03-25,1.2875,2.9,5.8,-0.0956427419305575,-0.9954157251701444,24
2017-03-26,1.6041666666666667,3.8,7.1,0.1126310124490934,0.9936368828876534,24
2017-03-27,1.675,3.8,8.4,-0.4286625826925285,-0.9034646590760322,24
2017-03-28,1.35,3.7,8.1,-0.9837224089078368,-0.1796948029648131,24
2017-03-29,1.3916666666666666,2.5,7.3,-0.7768392741840957,-0.6296989297157234,24
2017-03-30,1.6291666666666669,3.1,6.6,0.7827550022488834,-0.6223299819664407,24
2017-03-31,1.3208333333333333,2.8,5.7,0.6412565089882665,0.7673265860637054,24
2017-04-01,1.9541666666666664,3.6,7.8,0.9441270938655422,0.3295815993483337,24
2017-04-02,2.8625000000000003,3.8,8.0,0.9951387338556424,0.0984829953859486,24
2017-04-03,2.45,4.7,8.4,0.934709039380859,0.3554138597462285,24
2017-04-04,2.475,4.7,9.5,0.8119958621164654,0.5836631904666751,24
2017-04-05,2.65,4.6,9.2,0.4116208660545457,0.9113551791856488,24
2017-04-06,1.6708333333333334,3.5,6.6,-0.0472030039513867,0.9988853169498316,24
2017-04-07,1.6833333333333331,3.7,8.2,0.9908069006444952,-0.1352837227283809,24
2017-04-08,2.245833333333333,4.7,9.2,0.9994873293147548,-0.0320168477408177,24
2017-04-09,2.9333333333333336,4.3,8.5,0.996325151452784,0.085651576649744,24
2017-04-10,2.191666666666667,4.0,8.6,0.9766984033900836,-0.2146164691147013,24
2017-04-11,1.8291666666666664,3.8,6.3,0.8150224726185801,-0.5794293478299972,24
2017-04-12,1.45,2.9,6.5,0.8294060534973404,-0.5586462193749878,24
2017-04-13,2.0875,3.5,7.5,0.724362174222448,-0.689419640390182,24
2017-04-14,3.0708333333333333,4.5,7.9,0.9732449008723064,-0.2297702394263769,24
2017-04-15,3.1291666666666664,4.3,8.3,0.9876796997862456,-0.156489011212135,24
2017-04-16,2.5125,3.3,8.0,0.9999989916544844,0.0014201021140165,24
2017-04-17,1.3541666666666667,3.2,6.5,0.7536737356652379,-0.6572487353874523,24
2017-04-18,1.4,3.1,7.4,0.8852857712504875,0.4650474204007906,24
2017-04-19,2.6333333333333333,4.6,9.3,0.9928866925989128,0.1190630742925446,24
2017-04-20,2.9791666666666665,4.0,8.3,0.9472759516346776,0.3204188999647424,24
2017-04-21,2.0083333333333333,3.9,8.8,0.4456363960450221,0.8952140540228378,24
2017-04-22,1.7125,2.8,8.4,-0.9792178449595504,0.2028112721541232,24
2017-04-23,1.9125,3.5,5.9,-0.0324306538899622,-0.9994739879998226,24
2017-04-24,1.8041666666666665,3.8,7.1,0.8895863284720559,-0.4567670787125618,24
2017-04-25,2.2583333333333333,3.7,7.7,0.7920368794213469,0.6104732439972246,24
2017-04-26,1.6916666666666669,3.9,8.1,-0.1686040008996175,0.9856838696461668,24
2017-04-27,1.7833333333333332,3.7,7.0,0.9949115777862354,-0.1007519349040179,24
2017-04-28,2.3625000000000003,3.4,7.0,0.3068276203484469,-0.9517651030539568,24
2017-04-29,2.85,4.4,8.7,0.9555708367222356,-0.294761557883599,24
2017-04-30,3.4,5.2,8.8,0.9481616398782148,-0.3177884589840458,24
2017-05-01,3.6,4.8,9.4,0.9413954000750602,-0.3373050558730441,24
2017-05-02,3.4166666666666665,5.8,10.6,0.9900798589069262,-0.1405057756351715,24
2017-05-03,3.091666666666667,5.4,8.9,0.9856347246422268,-0.1688910583170168,24
2017-05-04,3.0500000000000003,4.9,8.5,0.99964323092085,-0.0267097524159995,24
2017-05-05,2.4291666666666667,3.6,7.2,0.9924979491650946,-0.122261281291672,24
2017-05-06,1.1875,2.5,6.4,0.9521289220243598,-0.3056967710734453,24
2017-05-07,2.0375,3.4,6.3,0.882420052915643,-0.4704623791679349,24
2017-05-08,1.375,4.0,7.0,0.9999723085856764,0.0074419125117735,24
2017-05-09,1.8375,3.6,6.8,0.2780622960751742,-0.9605630429604308,24
2017-05-10,1.7541666666666669,2.9,6.0,0.4265967162968296,-0.9044419504007774,24
2017-05-11,1.7,3.6,8.1,0.8272341911557748,-0.5618572710064818,24
2017-05-12,2.858333333333333,5.5,9.6,0.977228000367044,-0.2121919774605735,24
2017-05-13,1.6291666666666669,3.0,7.9,0.7850173063762032,0.6194738321267901,24
2017-05-14,1.5375,3.3,6.6,-0.9638239700959136,0.2665395930599264,24
2017-05-15,1.5416666666666667,2.9,7.5,-0.9853026206139504,0.1708178732196425,24
2017-05-16,1.0333333333333334,2.9,6.3,0.7705733502401931,-0.6373513253297624,24
2017-05-17,1.7083333333333333,3.4,6.6,0.6173453947212894,-0.7866922292843724,24
2017-05-18,1.65,3.5,8.0,0.97353678738202,0.2285303560008945,24
2017-05-19,2.183333333333333,4.4,9.2,0.1693670261395869,0.9855530480175242,24
2017-05-20,1.8833333333333333,3.8,11.4,-0.3448344895681151,0.9386635045660918,24
2017-05-21,1.8875,3.6,6.9,0.9986401913306608,0.0521322190114825,24
2017-05-22,1.8041666666666665,3.4,6.8,0.99634642646936,0.0854037379845671,24
2017-05-23,1.7125,3.6,6.7,0.9547400611795664,-0.2974414489926343,24
2017-05-24,2.6,5.0,7.9,0.9543133070152048,-0.2988078179260096,24
2017-05-25,2.6416666666666666,4.1,7.8,0.9754965358268408,-0.220014791752357,24
2017-05-26,2.2583333333333333,3.4,6.8,0.9370987142131354,-0.3490644637027496,24
2017-05-27,2.270833333333333,3.4,7.6,0.9675544673854956,-0.252662527182742,24
2017-05-28,1.9916666666666665,3.4,7.5,0.8801298837599807,-0.4747329646365869,24
2017-05-29,2.3666666666666667,3.6,6.7,0.929057354786861,-0.3699357126805153,24
2017-05-30,2.025,3.2,6.0,0.9305785917972116,-0.366092180316268,24
2017-05-31,2.0416666666666665,3.5,8.1,0.117069960376673,0.993123670233171,24
2017-06-01,1.4583333333333333,3.5,6.9,-0.8109338109052077,0.5851378934326138,24
2017-06-02,1.4291666666666665,2.2,5.1,0.2939485497626925,-0.9558212437963544,24
2017-06-03,2.408333333333333,3.7,7.3,0.8137102807438296,-0.5812706589978529,24
2017-06-04,2.904166666666667,4.4,9.0,0.997185825289242,-0.074969526090361,24
2017-06-05,2.4208333333333334,3.6,7.6,0.9964977947297862,0.0836190474633193,24
2017-06-06,2.1625,3.4,7.2,0.990020002005279,-0.1409269159155457,24
2017-06-07,2.3125,4.2,8.8,0.946177750215677,-0.3236474393484367,24
2017-06-08,2.0625,3.7,8.4,0.4549019966848486,0.8905415057211753,24
2017-06-09,1.2958333333333334,2.6,6.1,-0.960181319296318,-0.2793775833426552,24
2017-06-10,1.8541666666666667,3.7,7.5,0.2582772784892597,-0.9660708293992638,24
2017-06-11,1.7208333333333332,4.0,6.9,0.9268019043586933,-0.3755505692674419,24
2017-06-12,1.5583333333333331,3.5,7.1,0.4900201571107581,-0.8717111021577894,24
2017-06-13,2.2958333333333334,4.4,8.0,0.9919450446871768,-0.12666897141982,24
2017-06-14,2.5375,3.7,8.1,0.9071327396932471,-0.4208446180915509,24
2017-06-15,2.75,5.6,9.8,0.9106858630742438,-0.4130995749171374,24
2017-06-16,2.795833333333333,4.3,8.2,0.9978980471434366,0.0648034528965516,24
2017-06-17,2.308333333333333,4.4,9.6,0.9973457127925024,0.0728116005483691,24
2017-06-18,1.8375,3.9,7.9,0.98935815855521,-0.1455006326455097,24
2017-06-19,1.775,3.3,7.5,0.8773099017297704,-0.4799243027050207,24
2017-06-20,1.6833333333333331,3.4,7.1,0.7762589826242555,-0.630414143159206,24
2017-06-21,2.920833333333333,4.5,8.6,0.8760132908873519,-0.4822869624909134,24
2017-06-22,3.85,5.8,10.5,0.9234623852549072,-0.3836889665071405,24
2017-06-23,4.054166666666666,6.1,12.0,0.9664754449987948,-0.256759058680276,24
2017-06-24,3.35,6.1,10.9,0.9643650996062662,-0.2645750454245381,24
2017-06-25,3.0041666666666664,5.7,10.4,0.8762790859446532,-0.4818038641771183,24
2017-06-26,4.033333333333333,5.6,11.7,0.960875958483708,-0.2769790468754193,24
2017-06-27,3.8708333333333336,5.5,12.9,0.994092714920064,-0.1085342072475591,24
2017-06-28,3.583333333333333,5.7,10.0,0.967403792804171,-0.2532388233824046,24
2017-06-29,3.1291666666666664,5.3,11.2,0.9947521050731692,-0.1023144635547622,24
2017-06-30,2.0625,3.9,7.3,0.9133213015551565,-0.4072397329897895,24
2017-07-01,2.5458333333333334,3.9,8.2,0.8674467246181635,-0.4975300794416554,24
2017-07-02,2.6625,5.2,9.1,0.8120159974368072,-0.5836351770641546,24
2017-07-03,3.6458333333333335,7.3,13.4,0.9030997183149584,-0.4294309010532928,24
2017-07-04,4.358333333333333,6.5,11.5,0.9859392654167102,-0.1671040541386053,24
2017-07-05,3.966666666666667,6.0,11.4,0.9883234372654196,-0.1523705462084657,24
2017-07-06,3.275,5.1,9.5,0.9796873920655632,-0.2005308301179027,24
2017-07-07,3.4333333333333336,4.9,9.2,0.9963307393533664,-0.0855865516280111,24
2017-07-08,3.875,6.1,11.6,0.9971742184747904,-0.0751237512987134,24
2017-07-09,3.8166666666666655,5.9,10.5,0.9984903851023712,-0.0549267772413268,24
2017-07-10,3.5416666666666665,4.9,9.8,0.9887251271920928,-0.1497418540655211,24
2017-07-11,3.2583333333333333,5.7,9.7,0.969542137710534,-0.2449245663539854,24
2017-07-12,2.9291666666666667,4.6,8.9,0.9651047098718084,-0.2618642758820925,24
2017-07-13,3.4791666666666665,5.6,10.4,0.988369234971404,-0.1520731908064058,24
2017-07-14,3.654166666666667,6.4,10.9,0.9919000277469632,-0.127021002025547,24
2017-07-15,3.3666666666666667,5.0,10.3,0.9914878397317508,0.1301993228249142,24
2017-07-16,2.841666666666667,4.9,8.6,0.9960334932967672,-0.0889790999675687,24
2017-07-17,2.2375000000000003,3.5,7.0,0.8999609619656059,-0.4359704886089666,24
2017-07-18,1.8166666666666669,4.2,8.5,0.6831782216841582,-0.7302516808720616,24
2017-07-19,2.2291666666666665,4.6,8.2,0.8197691169206153,-0.5726941548009676,24
2017-07-20,2.1,3.4,7.9,0.9952965688823008,-0.0968748675927841,24
2017-07-21,1.6875,3.9,7.2,0.9650294865722346,-0.2621413550856282,24
2017-07-22,2.0083333333333333,4.2,7.9,0.9404809814150298,-0.3398463235002293,24
2017-07-23,3.2625,4.9,10.5,0.9956994481120336,-0.0926423716740432,24
2017-07-24,3.5416666666666665,5.8,11.1,0.9858101614716424,-0.1678640090646417,24
2017-07-25,3.3000000000000003,5.4,9.0,0.9941437571161816,-0.1080656753410748,24
2017-07-26,3.9625,6.7,12.7,0.9899871451239534,-0.1411575449252516,24
2017-07-27,4.245833333333334,6.2,10.9,0.9965385780732182,-0.0831315969521124,24
2017-07-28,4.458333333333333,7.7,13.9,0.9989214212117062,-0.0464326850869604,24
2017-07-29,4.7375,6.3,11.8,0.9999939694319604,0.0034729094015672,24
2017-07-30,4.141666666666667,5.8,11.0,0.9863252112504663,-0.1648107328171403,24
2017-07-31,3.0708333333333333,5.1,10.5,0.9702555260743474,-0.24208307277088,24
2017-08-01,2.6750000000000003,4.2,9.5,0.9993816053913582,0.0351625767740578,24
2017-08-02,1.9666666666666668,4.4,10.0,0.9820098078939864,0.1888299160620892,24
2017-08-03,1.4875,2.9,6.5,-0.4014917704046217,0.9158626306916132,24
2017-08-04,1.8041666666666665,3.1,6.8,-0.453118910995696,-0.8914500841315091,24
2017-08-05,1.9041666666666668,3.5,6.5,0.4658328817756001,-0.8848727175456591,24
2017-08-06,2.020833333333333,4.1,8.5,0.9056265730477469,-0.4240760665137733,24
2017-08-07,2.7125,3.6,8.2,0.9999983779297232,0.0018011490561803,24
2017-08-08,1.7958333333333334,3.3,6.0,0.9984567773457718,-0.0555343476804764,24
2017-08-09,1.4,3.9,6.6,0.8342488085210481,-0.5513881803967252,24
2017-08-10,1.7541666666666669,3.6,10.0,0.8545999305191815,-0.5192869714874524,24
2017-08-11,2.4250000000000003,3.9,11.2,0.965666053281346,0.2597865923022757,24
2017-08-12,2.8791666666666664,4.6,7.9,0.9915600631546118,0.1296481436690175,24
2017-08-13,2.458333333333333,4.1,8.9,0.9993395258004578,0.0363388521133503,24
2017-08-14,1.6333333333333335,2.9,6.5,0.9783313618158788,-0.2070452764191648,24
2017-08-15,2.6916666666666664,4.8,8.8,0.9976986983716836,-0.0678034458375701,24
2017-08-16,3.1125000000000003,5.0,8.7,0.9859870576299136,-0.1668218276674413,24
2017-08-17,1.8708333333333331,3.2,7.1,0.9999103994136104,-0.0133863043635724,24
2017-08-18,1.7958333333333334,3.3,7.1,0.9978793811709772,-0.0650902499136966,24
2017-08-19,2.5791666666666666,4.1,9.7,0.8832306749438473,0.4689387751489909,24
2017-08-20,2.2041666666666666,3.1,7.2,0.7637280221647584,0.6455381539152478,24
2017-08-21,2.895833333333333,4.9,11.1,0.6578656987924402,-0.7531352616577811,24
2017-08-22,4.029166666666667,6.3,11.9,0.968386416183823,-0.2494549036412224,24
2017-08-23,4.995833333333334,6.7,12.0,0.9997118516521448,-0.0240044509672742,24
2017-08-24,4.0875,5.5,10.0,0.9999421064184112,0.0107602886351127,24
2017-08-25,3.3125,4.6,9.9,0.9832921146869404,0.1820346593220224,24
2017-08-26,2.495833333333333,3.9,7.1,0.9512496674679074,-0.308421902825003,24
2017-08-27,2.5,3.5,14.0,0.9958011550418764,-0.0915426655569151,24
2017-08-28,1.9333333333333331,3.2,7.7,0.8056527389108219,-0.5923881027548502,24
2017-08-29,2.2916666666666665,3.6,7.5,0.837937982735284,-0.5457654597805938,24
