Modelo,Horizonte,MAE,RMSE
Bi-GRU,1,20.21677436961115,34.28380388165277
Bi-GRU,3,26.984154234746132,41.701059808171834
Bi-GRU,7,25.473827792066995,39.248771870694604
Bi-GRU,14,24.934160175066527,39.251225649582786
Bi-LSTM,1,22.02128289821981,37.88758708675635
Bi-LSTM,3,25.42817393183412,39.87499389937247
Bi-LSTM,7,25.481742672272958,40.6441158908381
Bi-LSTM,14,24.496739698002454,39.351460600606345
XGBoost,1,18.417904181913897,30.476459511453385
XGBoost,3,23.640341558239676,36.40593787178919
XGBoost,7,26.226815426891502,39.242107374280025
XGBoost,14,22.9003645344214,36.35897010484468
