mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6357181549072266,0.028296880167853467,0.003203010559082031,0.0002470596164446724,0.7,0.0,0.03,4,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-5.708337364196777,-5.684010801315307,-18.252637279828388,-19.524199491077,-20.803611299726697,-13.994559247228835,6.823459946074756,23
0.45574126243591306,0.1997922065556621,0.002904033660888672,0.0007341448843556747,0.7,0.0,0.03,4,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-5.642507032818265,-5.685013748274909,-18.033117332988315,-19.39045067893134,-20.874418487548827,-13.92510145611233,6.8049872827079145,5
0.30619468688964846,0.04634858823818142,0.003303861618041992,0.0005094727025281433,0.7,0.0,0.03,4,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.780917611122131,-5.719019812742869,-18.409267726474337,-19.5939206483629,-21.19068143632677,-14.1387614470058,6.9061011302134165,123
0.30908918380737305,0.038516864494382914,0.003101158142089844,0.0002023935528635083,0.7,0.0,0.03,4,1,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",-5.733307693004608,-5.7488351866934035,-18.070146613650852,-19.408973846435547,-21.094078414705063,-14.011068350897895,6.82009310808803,35
0.17910280227661132,0.02444343029701995,0.0026044368743896483,0.00019779969764364527,0.7,0.0,0.03,4,3,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",-5.64426786687639,-5.701296281814575,-18.062894957330492,-19.592117297914292,-20.827881406148276,-13.965691562016806,6.827586884727486,15
0.177294921875,0.02194191743690846,0.002401590347290039,0.00037448866979108465,0.7,0.0,0.03,4,3,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-5.747748747666677,-5.673651968373193,-17.764707101186115,-19.359981757269964,-20.661650942696465,-13.841548103438484,6.701972911555366,2
0.2927509307861328,0.033790043961858016,0.0029018878936767577,0.00019853432178541837,0.7,0.0,0.03,4,3,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-5.750124921268887,-5.748683873547448,-18.196844976213242,-19.631475415759617,-21.085290558073257,-14.08248394897249,6.864969104506262,78
0.29642715454101565,0.0466362140993624,0.0033997058868408202,0.0004901944106310344,0.7,0.0,0.03,4,3,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.8}",-5.820582215256161,-5.710842219988505,-17.854812330669827,-19.37845390955607,-20.843286770714656,-13.921595489237044,6.726071573376399,3
0.4700671672821045,0.0603842875885835,0.003505563735961914,2.1142768170733796e-06,0.7,0.0,0.03,6,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-5.704673236476051,-5.85460074239307,-18.001010791460672,-19.457411783006457,-20.81499515639411,-13.966538341946073,6.743737338761338,17
0.5398414611816407,0.10213116183686616,0.003801584243774414,0.0009302170887178283,0.7,0.0,0.03,6,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-5.7389445024066505,-5.7591182465023465,-18.358652205997043,-19.60373830689324,-20.7754168065389,-14.047174013667638,6.818387610556262,55
