Modelo,Horizonte,Mes,n,MAE,RMSE,Erro_Medio
Bi-GRU,1,2024-06,17,5.086029019645032,7.361307593094053,0.46487430066746827
Bi-GRU,1,2024-07,31,5.590842453222121,7.2095951680339985,-0.5957233920212714
Bi-GRU,1,2024-08,31,5.772118778719056,7.09340183142114,2.788193986781182
Bi-GRU,1,2024-09,30,9.983052791034181,15.094656027655958,3.879292879626155
Bi-GRU,1,2024-10,31,36.095195495553554,48.487336356258595,-0.5569493388456683
Bi-GRU,1,2024-11,30,34.14852435489495,42.75693650997963,-8.040720358490944
Bi-GRU,1,2024-12,31,28.333418573102644,33.975136562313615,-5.9317674386885875
Bi-GRU,1,2025-01,31,40.47350022437111,68.27479921019311,38.33964611397636
Bi-GRU,1,2025-02,28,19.605128285874212,24.67116746981675,4.846082818561366
Bi-GRU,1,2025-03,31,23.02578534726654,42.987545969115025,11.6298850242409
Bi-GRU,1,2025-04,30,16.39123737985889,22.361628540082105,9.598597303281228
Bi-GRU,1,2025-05,31,11.199915159734026,13.272693208849148,2.0721285043945237
Bi-GRU,3,2024-06,17,5.737279805190423,7.824472086340149,-0.37893707086058215
Bi-GRU,3,2024-07,31,6.867219898128702,8.70175627768576,-2.2742393453034664
Bi-GRU,3,2024-08,31,6.937004935837561,8.217142615827546,3.6994365929595885
Bi-GRU,3,2024-09,30,16.138895694663127,23.34804806640828,-2.8591108622650308
Bi-GRU,3,2024-10,31,32.527535746655154,41.11356633384139,10.229369905206465
Bi-GRU,3,2024-11,30,40.52689446856578,50.011076267492435,-12.413841587801775
Bi-GRU,3,2024-12,31,40.689968604954984,50.64305653557142,3.984229484633092
Bi-GRU,3,2025-01,31,54.34562044662814,76.4088360501787,49.42368652935951
Bi-GRU,3,2025-02,28,28.14341989159584,35.03082524484633,-3.366933004132339
Bi-GRU,3,2025-03,31,39.96224708975323,59.39677392035585,-9.641142604572158
Bi-GRU,3,2025-04,30,23.465717434634765,29.569832929351755,-1.146719487756491
Bi-GRU,3,2025-05,31,18.95838873100377,32.328439057275396,-10.235668668463346
Bi-GRU,7,2024-06,17,5.5827514025218345,7.7162530797301265,-0.5656064108890645
Bi-GRU,7,2024-07,31,11.726597392631154,16.21784354345918,-7.952292553960316
Bi-GRU,7,2024-08,31,9.331026366280932,11.587629374981413,-3.167483893493491
Bi-GRU,7,2024-09,30,16.860917802900076,23.149461326482047,-5.6745620496571085
Bi-GRU,7,2024-10,31,48.45370842420286,55.73240877612244,10.06184855151561
Bi-GRU,7,2024-11,30,42.76615680952867,53.76528760067921,-8.605977242191631
Bi-GRU,7,2024-12,31,40.4697503548476,48.61083896491896,7.823279159203652
Bi-GRU,7,2025-01,31,38.254511219359216,63.39692858635687,33.054270433322074
Bi-GRU,7,2025-02,28,22.760606976225972,29.157916593967713,-2.782879762617605
Bi-GRU,7,2025-03,31,23.222488437208437,45.54847484110167,4.51757084289866
Bi-GRU,7,2025-04,30,20.556382323801518,28.145110124344924,0.34200765838225683
Bi-GRU,7,2025-05,31,16.57675346816259,25.461374019048368,-14.586501134859938
Bi-GRU,14,2024-06,17,4.670172301285407,6.961653523189848,-1.2561388208585627
Bi-GRU,14,2024-07,31,7.219568508887483,8.604264904533018,-4.354776394823866
Bi-GRU,14,2024-08,31,5.849613784662178,6.792331435015088,-0.202041846730055
Bi-GRU,14,2024-09,30,18.241253600517908,28.425119403159545,-15.695159640411536
Bi-GRU,14,2024-10,31,45.83146204919584,57.798009924752584,25.065966903201996
Bi-GRU,14,2024-11,30,35.77739718755086,46.5092628107047,-8.693918685118357
Bi-GRU,14,2024-12,31,36.64191146507378,45.962966207894254,8.935926370803386
Bi-GRU,14,2025-01,31,41.081425520921904,66.67214073986656,29.0531890337025
Bi-GRU,14,2025-02,28,27.39596548463617,33.75022891820332,-18.311469157891615
Bi-GRU,14,2025-03,31,30.429541982950703,50.01914047073629,5.221254971719557
Bi-GRU,14,2025-04,30,21.459607800096272,25.99953320312385,4.749871686349312
Bi-GRU,14,2025-05,31,15.720562536269426,19.713447828026375,-12.437019737617623
Bi-LSTM,1,2024-06,17,6.312530193039599,8.419700535719851,-2.9980124592342805
Bi-LSTM,1,2024-07,31,5.942550175612973,7.355411853419656,-2.8393368401354357
Bi-LSTM,1,2024-08,31,5.24298563130921,6.411422450595695,0.480040929130008
Bi-LSTM,1,2024-09,30,10.021159190684557,14.641451065910223,-1.4872936733067037
Bi-LSTM,1,2024-10,31,46.904386786924256,66.18467612365505,-19.433642972140543
Bi-LSTM,1,2024-11,30,37.69044089267651,49.34449482172304,-9.47229245553414
Bi-LSTM,1,2024-12,31,26.416486711511688,35.683903387150906,-6.4470546171069145
Bi-LSTM,1,2025-01,31,42.60974942267902,67.2939345289639,22.55028631201675
Bi-LSTM,1,2025-02,28,23.62036913473691,27.86556517877295,-8.651693814034973
Bi-LSTM,1,2025-03,31,24.215476806125334,44.16770501531966,-0.7071529838346675
