data,temperatura_media,precipitacao_total_mm,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_circular_gr,vento_dir_sin,vento_dir_cos,n_registros
2017-01-01,22.870833333333334,0.0,1.2791666666666666,2.8,8.1,111.68403658678085,0.9292355521379777,-0.36948787347195516,24
2017-01-02,23.5,0.0,1.1833333333333333,2.2,5.1,5.790849354464182,0.10089740459784825,0.9948968357299254,24
2017-01-03,23.837500000000002,10.4,1.7041666666666666,7.3,17.8,57.911598267523104,0.847229473953282,0.5312270874728104,24
2017-01-04,21.65416666666667,9.4,2.0416666666666665,5.6,11.5,281.0562915800732,-0.9814392449530738,0.19177332574146133,24
2017-01-05,22.445833333333336,1.2,2.095833333333333,3.7,7.8,110.62519343111101,0.9359047375523915,-0.35225320754677214,24
2017-01-06,24.349999999999998,0.0,2.3875,4.5,11.8,127.32029438483443,0.7952587875438349,-0.6062701220036409,24
2017-01-07,24.979166666666668,0.0,2.3666666666666667,4.1,8.3,106.11990632484648,0.9606827484900502,-0.2776484409349404,24
2017-01-08,25.45,0.0,2.7375000000000003,4.1,8.3,78.47770056991584,0.9798470367092241,0.19974930450980918,24
2017-01-09,24.6875,0.0,1.4124999999999999,2.7,6.0,42.88870273336906,0.6805764169481943,0.7326771053431094,24
2017-01-10,24.3625,0.0,1.9708333333333332,3.9,8.5,176.60849945179018,0.05915829061555321,-0.9982486146504016,24
2017-01-11,22.933333333333334,0.0,2.4625,3.8,8.7,189.18865678737023,-0.1596857548677607,-0.9871678984308158,24
2017-01-12,21.683333333333334,14.4,1.6333333333333335,2.5,13.2,326.8513550162003,-0.5468129999732322,0.8372547659226993,24
2017-01-13,20.462500000000002,15.8,1.4208333333333334,3.2,9.5,338.68590005677976,-0.3634804997694455,0.9316018067218172,24
2017-01-14,21.125,0.8,2.275,4.6,13.6,308.45795671419074,-0.7830647434719,0.6219401961051301,24
2017-01-15,21.133333333333333,3.6,2.3416666666666663,4.0,10.1,328.0270326746851,-0.5295190883911086,0.8482980225306724,24
2017-01-16,20.958333333333332,2.4000000000000004,1.8416666666666668,4.3,11.5,87.09533747189344,0.9987152368026515,0.05067421216184571,24
2017-01-17,19.912499999999998,12.2,1.825,3.4,11.5,49.14056580458559,0.7563168406677192,0.654205500223286,24
2017-01-18,20.7625,2.0,1.825,4.7,10.5,16.16292792064929,0.2783697090082843,0.9604740002241827,24
2017-01-19,19.404166666666665,2.4000000000000004,0.8250000000000001,2.0,6.5,122.98309179233514,0.8388312565249845,-0.5443915163526301,24
2017-01-20,22.308333333333334,0.4,1.8958333333333333,4.0,9.2,103.2865420793341,0.9732328811694996,-0.2298211456992474,24
2017-01-21,22.545833333333334,0.0,2.5625,3.6,7.5,133.80512005786943,0.7216983740098784,-0.6922076689487756,24
2017-01-22,20.825,1.4,2.0,3.4,8.6,138.91551323445626,0.6571711891230603,-0.7537413536396839,24
2017-01-23,20.537499999999998,36.6,1.875,4.1,8.1,104.16209136335772,0.9696074405479004,-0.24466591759816045,24
2017-01-24,20.679166666666667,6.4,1.3708333333333333,3.3,7.1,34.014868690832245,0.5594080261985879,0.8288924298270556,24
