Modelo,Horizonte,n,MAE,RMSE,R2,MAPE
Bi-GRU,1,352,75.09843351903625,121.18339909368983,0.13612784206725015,26.501867154325414
Bi-GRU,3,352,77.66792861693963,121.76594576945018,0.12780235447403998,24.553061958873947
Bi-GRU,7,352,73.61344215938483,119.91709835082709,0.15408750515869574,23.64572939510224
Bi-GRU,14,352,64.31049465436742,106.27487413110401,0.33560796720390595,20.521938737569233
Bi-LSTM,1,352,64.1893559418915,100.4383018197343,0.40658032730244165,21.196762150520605
Bi-LSTM,3,352,74.00649468035607,119.47351545870457,0.16033412568240657,23.185067401204833
Bi-LSTM,7,352,79.48732862174936,128.39803902296399,0.03020486922284249,25.472909676843162
Bi-LSTM,14,352,67.69043784002265,110.23939156042219,0.2851139335406091,21.232294492253548
XGBoost,1,352,62.45911264419556,101.41046351804428,0.3950370847562309,20.90617674736309
XGBoost,3,352,78.77311559156938,120.02432495006059,0.15257404504360472,27.085712228879537
XGBoost,7,352,83.82539601759477,132.10390385801654,-0.026584070356965528,28.551523625110086
XGBoost,14,352,71.33821660822088,115.22862716344277,0.21894072715435497,22.83639699519875
