Escopo,Modelo,Horizonte,n,MAE,RMSE,R2,MAPE
principal_365,Persistencia,1,365,20.32054794520548,33.95666053251627,0.3869669872415987,43.34684865184386
multihorizonte_352,Persistencia,1,352,20.732954545454547,34.521649992168946,0.37497697939616326,42.783109914116515
multihorizonte_352,Persistencia,3,352,26.84659090909091,44.90526644554572,-0.0575659963447499,59.061121299082345
multihorizonte_352,Persistencia,7,352,28.963068181818183,46.956489773173864,-0.15638958354168397,65.10548604123234
multihorizonte_352,Persistencia,14,352,29.207386363636363,48.90618918817015,-0.25441307023166404,69.15278760045287
